fold,epoch,train_loss,train_acc,val_loss,val_acc
3,1,0.5755579629025283,0.7189014539579968,0.5561722628772259,0.7109375
3,2,0.4928238778006472,0.7479806138933764,0.4741169586777687,0.8828125
3,3,0.4267067334378478,0.7980613893376414,0.4475869722664356,0.8203125
3,4,0.39868570948455945,0.8287560581583199,0.30071502178907394,0.8671875
3,5,0.366141177437032,0.8432956381260097,0.3702149111777544,0.84375
3,6,0.3378524740553056,0.8626817447495961,0.29525791853666306,0.859375
3,7,0.3265390112538715,0.8546042003231018,0.25451677199453115,0.9140625
3,8,0.2742857799198785,0.8852988691437803,0.23147862032055855,0.9140625
3,9,0.2926905292879206,0.8804523424878837,0.2830288801342249,0.8984375
3,10,0.26200519304764674,0.8949919224555735,0.18716542329639196,0.90625
3,11,0.2747326015174293,0.877221324717286,0.3181740343570709,0.8671875
3,12,0.25728223685879315,0.8901453957996769,0.2244960032403469,0.9140625
3,13,0.2528172323844352,0.8933764135702746,0.17606145422905684,0.9609375
3,14,0.20220385195750604,0.9159935379644588,0.2761301277205348,0.8828125
3,15,0.22046379862964058,0.9111470113085622,0.23683398216962814,0.90625
