accuracy,auroc,pr_auc,f1,sensitivity,specificity,tn,fp,fn,tp,fold,best_epoch,best_val_loss,n_val_images
0.8974358974358975,0.8784461152882206,0.8544269428392328,0.7837837837837837,0.6904761904761905,0.9736842105263158,111,3,13,29,1,12,0.3753659278154373,156
0.8918918918918919,0.9672057502246181,0.9174916670978898,0.7837837837837837,0.6904761904761905,0.9716981132075472,103,3,13,29,2,11,0.22645320441271807,148
0.9609375,0.9854469854469855,0.9751701083644919,0.9295774647887325,0.8918918918918919,0.989010989010989,90,1,4,33,3,13,0.17606145422905684,128
0.8051948051948052,0.860969387755102,0.7039552226593442,0.5945945945945946,0.5238095238095238,0.9107142857142857,102,10,20,22,4,11,0.4467658361831269,154
0.906832298136646,0.9671111111111111,0.9005352132001317,0.7887323943661971,0.7777777777777778,0.944,118,7,8,28,5,10,0.20103224353020235,161
