fold,epoch,train_loss,train_acc,val_loss,val_acc
4,1,0.45905822404922564,0.7436762225969646,0.45485202755246845,0.7532467532467533
4,2,0.20081814585809563,0.9443507588532883,0.20302710633773308,0.948051948051948
4,3,0.137151978369708,0.9578414839797639,0.2189134583844767,0.935064935064935
4,4,0.12106266864033614,0.9527824620573356,0.22796449529660212,0.922077922077922
4,5,0.1095025842447104,0.9595278246205734,0.18085210422029743,0.9415584415584416
4,6,0.11991110579762451,0.9578414839797639,0.1558248114276242,0.9675324675324676
4,7,0.09038114040135131,0.9730185497470489,0.19262635354678354,0.9090909090909091
4,8,0.09450101711697763,0.9595278246205734,0.18201508977776998,0.9285714285714286
4,9,0.09685333090729094,0.9578414839797639,0.1904913940672557,0.935064935064935
4,10,0.0639083559607575,0.9797639123102867,0.1630231353224485,0.935064935064935
4,11,0.06832686968738273,0.9747048903878583,0.1668787935337463,0.961038961038961
4,12,0.05631956465630266,0.9763912310286678,0.1545916290639283,0.9675324675324676
4,13,0.04845979586117987,0.9814502529510961,0.18274548615921626,0.948051948051948
4,14,0.05177427727798185,0.9797639123102867,0.15628180817350165,0.9675324675324676
4,15,0.07089072749847908,0.96964586846543,0.1786917672045045,0.935064935064935
