Feature,AUROC_mean,AUROC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Num_features,Num_images_used,Num_patients_used,AUROC,Sensitivity (R+),Specificity (R-)
Disc Only,0.8132620715663904,0.046588438123003055,0.9659241735808148,0.02121995347744879,0.4358168307797152,0.07855199198542778,82,747,288,0.813 ± 0.047,0.966 ± 0.021,0.436 ± 0.079
Vessel Only,0.7209565829131234,0.049636713295218945,0.9327085514576641,0.04693523329790442,0.33123091277916306,0.07852613081834704,82,747,288,0.721 ± 0.050,0.933 ± 0.047,0.331 ± 0.079
Texture Only,0.8420777459315504,0.04398293149992616,0.9562772525791393,0.029016011798425383,0.5226386227976896,0.09112110509849858,82,747,288,0.842 ± 0.044,0.956 ± 0.029,0.523 ± 0.091
Disc & Vessel,0.7926885828729302,0.05396948589593396,0.9729295157578364,0.0228298529432455,0.43447918511545236,0.06275052740974549,164,747,288,0.793 ± 0.054,0.973 ± 0.023,0.434 ± 0.063
Disc & Texture,0.8582042153200982,0.025381300552027888,0.9542970545593373,0.02616207716812048,0.5355133704550459,0.056849113635035864,164,747,288,0.858 ± 0.025,0.954 ± 0.026,0.536 ± 0.057
Vessel & Texture,0.8385113236821843,0.04218019236106882,0.9649577792596661,0.02207971390603104,0.5502948008780459,0.060905210002918105,164,747,288,0.839 ± 0.042,0.965 ± 0.022,0.550 ± 0.061
All three,0.8503181558347276,0.030284224421390026,0.9609973832200621,0.016513345174625597,0.5306111438136889,0.056949328387168416,246,747,288,0.850 ± 0.030,0.961 ± 0.017,0.531 ± 0.057
