Feature_Set,Feature_Name,Importance_mean,Importance_std
Disc Only,cup_amp_heat_H0,0.054279039224610436,0.0034106941777640506
Disc Only,cup_amp_heat_H1,0.044534553449026654,0.004755844739569825
Disc Only,cup_pi_H0_px24,0.03477553775313963,0.003276954894399392
Disc Only,cup_pi_H1_px22,0.030092626860079862,0.0024426532656350963
Disc Only,cup_pi_H0_px23,0.02710075662531537,0.004264514850631495
Disc Only,cup_pi_H1_px21,0.02644210622171836,0.0014722333571336277
Disc Only,cup_pi_H1_px23,0.02585875111848457,0.0027795429254884136
Disc Only,cup_pi_H0_px21,0.025047116641759036,0.001827855736891606
Disc Only,cup_pi_H1_px24,0.024825418366804818,0.004566116572757294
Disc Only,cup_amp_wasserstein_H1,0.024014369655079124,0.0029978521967111605
Disc Only,cup_amp_landscape_H1,0.023965690152859542,0.0009534610862341769
Disc Only,cup_pi_H0_px17,0.02359670519394182,0.0030188976377577997
Disc Only,cup_pi_H1_px20,0.023555592832524126,0.0026654696085433387
Disc Only,cup_amp_landscape_H0,0.02344236201977734,0.003065859580566131
Disc Only,cup_amp_wasserstein_H0,0.023214621618901643,0.003479329631285599
Disc Only,cup_pi_H0_px22,0.02310258887880919,0.002999805427719855
Disc Only,cup_amp_betti_H0,0.022635045920197754,0.002108250141043649
Disc Only,cup_entropy_H1,0.021658996382009885,0.0020147424699361693
Disc Only,cup_pi_H0_px20,0.020982572893352022,0.001595398033224829
Disc Only,cup_amp_betti_H1,0.020457298113617472,0.0016558075050361622
Disc Only,cup_entropy_H0,0.020360778813595208,0.002605908238688418
Disc Only,cup_pi_H1_px17,0.01645874966310827,0.0018475727247544184
Disc Only,cup_pi_H0_px16,0.015489025769650527,0.0021699064623352574
Disc Only,cup_amp_bottleneck_H1,0.015188532133022233,0.0009601468678627879
Disc Only,cup_amp_bottleneck_H0,0.014146599162003892,0.0012626944003886423
Disc Only,cup_pi_H1_px12,0.013979613257080054,0.0017465163932729678
Disc Only,cup_pi_H1_px16,0.013893453673697657,0.001397501286047209
Disc Only,cup_pi_H1_px18,0.01246213297870717,0.00144883104188352
Disc Only,cup_pi_H0_px18,0.012423405438612676,0.0015415358464480056
Disc Only,cup_pi_H0_px15,0.011964052897343033,0.002284679520304566
Disc Only,cup_betti_curve_H0_bin6,0.011913748282439606,0.001333400746913375
Disc Only,cup_pi_H1_px7,0.011801663648674063,0.0032726607272499197
Disc Only,cup_pi_H1_px11,0.011256368524485649,0.0021058068885604787
Disc Only,cup_betti_curve_H0_bin5,0.011127844184370465,0.0008290368857254899
Disc Only,cup_betti_curve_H0_bin3,0.010817264821817798,0.0017134648888032997
Disc Only,cup_betti_curve_H0_bin7,0.010510719675923905,0.001877765075933546
Disc Only,cup_betti_curve_H1_bin6,0.010485732185472411,0.0008690401621898641
Disc Only,cup_betti_curve_H1_bin2,0.010436353401964938,0.0024555234186855496
Disc Only,cup_pi_H0_px12,0.009911939611177426,0.0012370480962781666
Disc Only,cup_betti_curve_H0_bin1,0.009638761236240176,0.0021102339366818484
Disc Only,cup_pi_H1_px3,0.009538567958778938,0.00103829855153269
Disc Only,cup_pi_H1_px15,0.008939418811948376,0.001363088638514523
Disc Only,cup_betti_curve_H1_bin7,0.008835248401924973,0.0011763673007829632
Disc Only,cup_pi_H0_px0,0.008630611638888088,0.0011664072326096483
Disc Only,cup_pi_H1_px2,0.00856660619847975,0.0013280366085984523
Disc Only,cup_pi_H0_px1,0.008558142294803521,0.0006951911830990223
Disc Only,cup_betti_curve_H0_bin8,0.00831763410898478,0.0011956956828740371
Disc Only,cup_pi_H0_px10,0.008232176688334014,0.0014897136929707614
Disc Only,cup_pi_H1_px1,0.007930391711060077,0.0014428372606235687
Disc Only,cup_pi_H0_px2,0.007807509535472201,0.0015432510538310382
Disc Only,cup_betti_curve_H1_bin5,0.007790611300650596,0.0009957101001809
Disc Only,cup_pi_H0_px11,0.007719935387567048,0.001122258033168887
Disc Only,cup_betti_curve_H0_bin4,0.007703477429750973,0.0012391818959959946
Disc Only,cup_betti_curve_H1_bin4,0.007412127860596975,0.00018775198482466962
Disc Only,cup_pi_H1_px10,0.007335503319675907,0.0011427979725516732
Disc Only,cup_betti_curve_H0_bin2,0.007202938205135829,0.0003309789625752869
Disc Only,cup_betti_curve_H1_bin8,0.0069772939364636565,0.0009067655682843496
Disc Only,cup_pi_H0_px13,0.006470617648158256,0.0009498212180329087
Disc Only,cup_pi_H0_px7,0.0063784546785487,0.001559363318612485
