accuracy,auroc,sensitivity,specificity,f1,tn,fp,fn,tp,fold,best_epoch,best_val_loss,n_val_images
0.9487179487179487,0.9889306599832917,0.8333333333333334,0.9912280701754386,0.8974358974358975,113,1,7,35,1,2,0.14983013425117883,156
0.972972972972973,0.9943845462713388,0.9761904761904762,0.9716981132075472,0.9534883720930233,103,3,1,41,2,5,0.0898622121359851,148
1.0,1.0,1.0,1.0,1.0,91,0,0,37,3,12,0.02101614116691053,128
0.9545454545454546,0.984906462585034,0.9285714285714286,0.9642857142857143,0.9176470588235294,108,4,3,39,4,5,0.14671777208130082,154
0.9751552795031055,0.9975555555555555,0.9722222222222222,0.976,0.9459459459459458,122,3,1,35,5,15,0.05476815197963892,161
