fold,n_val_images,accuracy,auroc,pr_auc,f1,sensitivity,specificity,tn,fp,fn,tp
1,156,0.9487179487179487,0.9889306599832917,0.9746063859773282,0.8974358974358975,0.8333333333333334,0.9912280701754386,113,1,7,35
2,148,0.972972972972973,0.9943845462713388,0.9836311751675172,0.9534883720930233,0.9761904761904762,0.9716981132075472,103,3,1,41
3,128,1.0,1.0,1.0,1.0,1.0,1.0,91,0,0,37
4,154,0.9545454545454546,0.984906462585034,0.9668505401527637,0.9176470588235294,0.9285714285714286,0.9642857142857143,108,4,3,39
5,161,0.9751552795031055,0.9975555555555555,0.9916002556692057,0.9459459459459458,0.9722222222222222,0.976,122,3,1,35
