fold,epoch,train_loss,train_acc,val_loss,val_acc
3,1,0.41831519540176637,0.7932148626817448,0.7444881284609437,0.71875
3,2,0.19134239427540722,0.9466882067851373,0.09305096790194511,0.984375
3,3,0.12560103637480774,0.9596122778675282,0.0817438205704093,0.984375
3,4,0.13078000867116432,0.9515347334410339,0.08976641343906522,0.9921875
3,5,0.13380331020074052,0.9418416801292407,0.09121195320039988,0.984375
3,6,0.12023777328130694,0.9547657512116317,0.09650005027651787,0.984375
3,7,0.10962085603993621,0.9612277867528272,0.06276663299649954,0.984375
3,8,0.09059292501702254,0.962843295638126,0.06455273739993572,0.9765625
3,9,0.08510835144987784,0.9709208400646203,0.057854296173900366,0.9765625
3,10,0.08081026051512442,0.9725363489499192,0.04346202849410474,0.984375
3,11,0.07330552121452831,0.9725363489499192,0.03240517433732748,0.9921875
3,12,0.046713377353592336,0.9838449111470113,0.02101614116691053,1.0
3,13,0.06373011462258021,0.9709208400646203,0.033207283820956945,0.9921875
3,14,0.06097634527787133,0.9773828756058158,0.04021709552034736,0.9765625
3,15,0.05397275456427469,0.9806138933764136,0.023411156609654427,0.984375
